新闻频道,#genre#
寰宇新闻台湾台,http://A/ku9/js/litvk9.js?id=litv-longturn15
国会频道1,http://A/ku9/js/litvk9.js?id=4gtv-4gtv084
国会频道2,http://A/ku9/js/litvk9.js?id=4gtv-4gtv085
国际财经,http://A/ku9/js/litvk9.js?id=4gtv-4gtv104
第1商业台,http://A/ku9/js/litvk9.js?id=4gtv-4gtv109
东森新闻,http://A/ku9/js/litvk9.js?id=4gtv-4gtv152
东森财经新闻,http://A/ku9/js/litvk9.js?id=4gtv-4gtv153
台视财经,http://A/ku9/js/litvk9.js?id=4gtv-4gtv056
非凡商业,http://tw.ts138.top/4g/?id=4gtv-4gtv048#https://litv.zapi.us.kg/?id=4gtv-4gtv048
非凡商业,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv048
中视HD,rtmp://f13h.mine.nu/sat/tv091
华视HD,rtmp://f13h.mine.nu/sat/tv111
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
民视,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv155
中视,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv040
台视,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv066
民视新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/litv-ftv13
中视新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv074
中天新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv009
华视新闻,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv052
靖天资讯台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv065
寰宇新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/litv-longturn14
寰宇新闻台湾台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/litv-longturn15
寰宇财经台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/litv-longturn23
TVBS 新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv072
三立新闻,http://45.145.229.220:8080/http:/127.0.0.1:5000/4gtv/229
台视新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv051
台视财经台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv056
东森新闻,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv152
东森财经新闻,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv153
非凡新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv010
非凡商业台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv048
镜电视新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv075
CNBC Asia 财经台,http://45.145.229.2
第1商业台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv104
国会频道1,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv084
国会频道2,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv085
TVBS,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv073
SBN 全球财经台,http://45.145.229.220:8080/http:/127.0.0.1:5000/4gtv/224
半岛国际新闻台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/litv-ftv10
台视财经,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv056
华视,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv041
SBN 全球财经台,https://4gtv.livednow.us.kg/4gtv/224
TVBS 新闻台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv072
中天新闻台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv009
中视,https://4gtv.livednow.us.kg/litv/4gtv-4gtv040
半岛国际新闻台,https://4gtv.livednow.us.kg/litv/litv-ftv10
台视,https://4gtv.livednow.us.kg/litv/4gtv-4gtv066
台视财经台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv056
三立新闻,https://4gtv.livednow.us.kg/4gtv/229
中视新闻台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv074
台视新闻台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv051
民视新闻台,https://4gtv.livednow.us.kg/litv/litv-ftv13
东森财经新闻,https://4gtv.livednow.us.kg/litv/4gtv-4gtv153
东森新闻,https://4gtv.livednow.us.kg/litv/4gtv-4gtv152
非凡商业台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv048
非凡新闻台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv010
客家电视台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv043
华视,https://4gtv.livednow.us.kg/litv/4gtv-4gtv041
华视新闻,https://4gtv.livednow.us.kg/litv/4gtv-4gtv052
寰宇财经台,https://4gtv.livednow.us.kg/litv/litv-longturn23
寰宇新闻台,https://4gtv.livednow.us.kg/litv/litv-longturn14
寰宇新闻台湾台,https://4gtv.livednow.us.kg/litv/litv-longturn15
镜电视新闻台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv075
国会频道1,https://4gtv.livednow.us.kg/litv/4gtv-4gtv084
国会频道2,https://4gtv.livednow.us.kg/litv/4gtv-4gtv085
第1商业台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv104
民视,https://4gtv.livednow.us.kg/litv/4gtv-4gtv002
民视新闻台,https://kaytse4gtv.koyeb.app/litv/litv-ftv13
中视新闻台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv074
中天新闻台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv009
华视新闻,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv052
靖天资讯台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv065
寰宇新闻台,https://kaytse4gtv.koyeb.app/litv/litv-longturn14
寰宇新闻台湾台,https://kaytse4gtv.koyeb.app/litv/litv-longturn15
寰宇财经台,https://kaytse4gtv.koyeb.app/litv/litv-longturn23
TVBS 新闻台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv072
三立 iNEWS,https://kaytse4gtv.koyeb.app/4gtv/229
台视新闻台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv051
台视财经台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv056
东森新闻,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv152
东森财经新闻,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv153
非凡新闻台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv010
非凡商业台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv048
镜电视新闻台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv075
CNBC Asia 财经台,https://kaytse4gtv.koyeb.app/4gtv/235
VOA 美国之音,https://kaytse4gtv.koyeb.app/litv/litv-ftv03
DW德国之声,https://kaytse4gtv.koyeb.app/4gtv/226
SBN 全球财经台,https://kaytse4gtv.koyeb.app/4gtv/224
半岛国际新闻台,https://kaytse4gtv.koyeb.app/litv/litv-ftv10
第1商业台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv104
国会频道1,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv084
国会频道2,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv085
民视新闻台,https://klxtx.koyeb.app/litv/litv-ftv13
中视新闻台,https://klxtx.koyeb.app/litv/4gtv-4gtv074
中天新闻台,https://klxtx.koyeb.app/litv/4gtv-4gtv009
华视新闻,https://klxtx.koyeb.app/litv/4gtv-4gtv052
靖天资讯台,https://klxtx.koyeb.app/litv/4gtv-4gtv065
寰宇新闻台,https://klxtx.koyeb.app/litv/litv-longturn14
寰宇新闻台湾台,https://klxtx.koyeb.app/litv/litv-longturn15
寰宇财经台,https://klxtx.koyeb.app/litv/litv-longturn23
TVBS 新闻台,https://klxtx.koyeb.app/litv/4gtv-4gtv072
三立 iNEWS,https://klxtx.koyeb.app/4gtv/229
台视新闻台,https://klxtx.koyeb.app/litv/4gtv-4gtv051
台视财经台,https://klxtx.koyeb.app/litv/4gtv-4gtv056
东森新闻,https://klxtx.koyeb.app/litv/4gtv-4gtv152
东森财经新闻,https://klxtx.koyeb.app/litv/4gtv-4gtv153
非凡新闻台,https://klxtx.koyeb.app/litv/4gtv-4gtv010
非凡商业台,https://klxtx.koyeb.app/litv/4gtv-4gtv048
镜电视新闻台,https://klxtx.koyeb.app/litv/4gtv-4gtv075
CNBC Asia 财经台,https://klxtx.koyeb.app/4gtv/235
VOA 美国之音,https://klxtx.koyeb.app/litv/litv-ftv03
DW德国之声,https://klxtx.koyeb.app/4gtv/226
SBN 全球财经台,https://klxtx.koyeb.app/4gtv/224
半岛国际新闻台,https://klxtx.koyeb.app/litv/litv-ftv10
第1商业台,https://klxtx.koyeb.app/litv/4gtv-4gtv104

电影戏剧,#genre#
民视影剧台,https://klxtx.koyeb.app/litv/litv-ftv09
中视经典台,https://klxtx.koyeb.app/litv/4gtv-4gtv080
靖天戏剧台,https://klxtx.koyeb.app/litv/4gtv-4gtv058
靖天电影台,https://klxtx.koyeb.app/litv/4gtv-4gtv061
龙华偶像台,https://klxtx.koyeb.app/litv/litv-longturn12
龙华戏剧台,https://klxtx.koyeb.app/litv/litv-longturn18
龙华经典台,https://klxtx.koyeb.app/litv/litv-longturn21
龙华电影台,https://klxtx.koyeb.app/litv/litv-longturn03
靖洋戏剧台,https://klxtx.koyeb.app/litv/4gtv-4gtv045
TVBS 台剧台,https://klxtx.koyeb.app/4gtv/285
影迷数位纪实台,https://klxtx.koyeb.app/4gtv/212
影迷数位电影台,https://klxtx.koyeb.app/litv/4gtv-4gtv011
AMC 电影台,https://klxtx.koyeb.app/litv/4gtv-4gtv017
CatchPlay 电影台,https://klxtx.koyeb.app/litv/4gtv-4gtv076
My Cinema Europe HD 我的欧洲电影,https://klxtx.koyeb.app/4gtv/176
