中国 China,#genre#
[HD]有线新闻,https://stream1.freetv.fun/you-xian-xin-wen-19.m3u8
[HD]有线财经资讯,https://stream1.freetv.fun/you-xian-cai-jing-zi-xun-1.m3u8
[BD]林正英,https://stream1.freetv.fun/lin-zheng-ying-1.ctv
[BD]港台電視 31[geo-blocked],https://stream1.freetv.fun/gang-tai-dian-shi--31-2.m3u8
[BD]无线财经,https://stream1.freetv.fun/wu-xian-cai-jing-2.ctv
[BD]环球电视,https://stream1.freetv.fun/huan-qiu-dian-shi-4.m3u8
[HD]美亚电影,https://stream1.freetv.fun/mei-ya-dian-ying-2.ctv
[BD]翡翠,https://stream1.freetv.fun/fei-cui-7.m3u8
[VGA]耀才财经,https://stream1.freetv.fun/yao-cai-cai-jing-6.m3u8
[BD]电影01,https://stream1.freetv.fun/dian-ying-01-1.m3u8
[SD]香港卫视,https://stream1.freetv.fun/xiang-gang-wei-shi-9.m3u8
[SD]香港電台(34),https://stream1.freetv.fun/xiang-gang-dian-tai-1.m3u8
[BD]凤凰卫视,https://stream1.freetv.fun/feng-huang-wei-shi-7.ctv
[BD]凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-17.ctv
[BD]凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-5.ctv
[HD]凤凰香港,https://stream1.freetv.fun/feng-huang-xiang-gang-3.ctv

马来西亚 Malaysia,#genre#
[BD]8tv,https://stream1.freetv.fun/8tv-3.m3u8
[HD]assp 3,https://stream1.freetv.fun/assp-3-1.ctv
[HD]astro awani,https://stream1.freetv.fun/astro-awani-4.m3u8
[HD]hello taste,https://stream1.freetv.fun/hello-taste-1.m3u8
[BD]ktv 1,https://stream1.freetv.fun/ktv-1-1.m3u8
[HD]astro tv,https://stream1.freetv.fun/astro-tv-1.ctv
[HD]tvs,https://stream1.freetv.fun/tvs-2.m3u8
[HD]people are awesome,https://stream1.freetv.fun/people-are-awesome-1.m3u8
[BD]berita rtm [geo-blocked][geo-blocked],https://stream1.freetv.fun/berita-rtm-4.m3u8
[BD]dc council channel,https://stream1.freetv.fun/dc-council-channel-2.m3u8
[HD]wfmz-tv channel 69,https://stream1.freetv.fun/wfmz-tv-channel-69-1.m3u8
[BD]dove channel,https://stream1.freetv.fun/dove-channel-1.m3u8
[HD]channel 11,https://stream1.freetv.fun/channel-11-1.m3u8
[BD]mo channel,https://stream1.freetv.fun/mo-channel-1.m3u8
[BD]dunia sinema hd,https://stream1.freetv.fun/dunia-sinema-1.m3u8
[HD]disney xd west,https://stream1.freetv.fun/disney-xd-west-1.ctv
[BD]maah tv,https://stream1.freetv.fun/maah-tv-3.m3u8
[VGA]yadah tv,https://stream1.freetv.fun/yadah-tv-1.m3u8
[BD]mar tv (1080p),https://stream1.freetv.fun/mar-tv-1.m3u8
[BD]ahora tv,https://stream1.freetv.fun/ahora-tv-1.m3u8
[BD]rtm parlimen (dewan rakyat) [geo-blocked][geo-blocked],https://stream1.freetv.fun/rtm-parlimen-3.m3u8
[HD]root sports,https://stream1.freetv.fun/root-sports-2.ctv
[HD]tm tv,https://stream1.freetv.fun/tm-tv-1.m3u8
[BD]sukan rtm[geo-blocked],https://stream1.freetv.fun/sukan-rtm-2.m3u8
[VGA]tv ikim,https://stream1.freetv.fun/tv-ikim-1.m3u8
[SD][土耳其]tv41,https://stream1.freetv.fun/tv41-2.m3u8
[HD]tv1,https://stream1.freetv.fun/tv1-7.m3u8
[BD]tvp1hd,https://stream1.freetv.fun/tvp1hd-1.ctv
[BD]tv1 [geo-blocked][geo-blocked],https://stream1.freetv.fun/tv1-2.m3u8
[BD]tvp2,https://stream1.freetv.fun/tvp2-1.m3u8
[HD]mtv2,https://stream1.freetv.fun/mtv2-1.m3u8
[BD]8tv malaysia,https://stream1.freetv.fun/8tv-malaysia-2.m3u8
[VGA]tv4-3,https://stream1.freetv.fun/tv43-1.m3u8
[HD]tv3,https://stream1.freetv.fun/tv3-8.m3u8
[BD]tvn3,https://stream1.freetv.fun/tvn3-1.m3u8
[HD]mtv3,https://stream1.freetv.fun/mtv3-2.m3u8
[HD]mtv3,https://stream1.freetv.fun/mtv3-1.m3u8
[BD]tv3,https://stream1.freetv.fun/tv3-1.m3u8
[HD]tv3,https://stream1.freetv.fun/tv3-2.m3u8
[BD]tv9,https://stream1.freetv.fun/tv9-2.m3u8
[BD]tv9,https://stream1.freetv.fun/tv9-3.m3u8
[BD]tv9,https://stream1.freetv.fun/tv9-1.m3u8
[HD]yes network,https://stream1.freetv.fun/yes-network-2.ctv

台湾 Taiwan,#genre#
[HD]三立戏剧,https://stream1.freetv.fun/san-li-xi-ju-1.m3u8
[BD]三立新闻,https://stream1.freetv.fun/san-li-xin-wen-2.ctv
[BD]中天娛樂,https://stream1.freetv.fun/zhong-tian-yu-le-3.m3u8
[BD]中天新闻,https://stream1.freetv.fun/zhong-tian-xin-wen-6.ctv
[BD]中视新闻,https://stream1.freetv.fun/zhong-shi-xin-wen-4.m3u8
[BD]中视菁采,https://stream1.freetv.fun/zhong-shi-jing-cai-5.ctv
[HD]人間衛視,https://stream1.freetv.fun/ren-jian-wei-shi-2.m3u8
[HD]八大戏剧,https://stream1.freetv.fun/ba-da-xi-ju-1.m3u8
[BD]八大綜合,https://stream1.freetv.fun/ba-da-zong-he-3.m3u8
[BD]台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-18.m3u8
[HD]唯心电视,https://stream1.freetv.fun/wei-xin-dian-shi-4.m3u8
[HD]國會頻道2,https://stream1.freetv.fun/guo-hui--2-1.m3u8
[HD]大爱1台,https://stream1.freetv.fun/da-ai-1-1.m3u8
[HD]大爱2台,https://stream1.freetv.fun/da-ai-2-7.m3u8
[BD]年代新聞,https://stream1.freetv.fun/nian-dai-xin-wen-7.m3u8
[SD]亚洲新闻,https://stream1.freetv.fun/ya-zhou-xin-wen-1.m3u8
[BD]东森戏剧,https://stream1.freetv.fun/dong-sen-xi-ju-5.ctv
[BD]东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-8.ctv
[VGA]東森美洲,https://stream1.freetv.fun/dong-sen-mei-zhou-2.m3u8
[BD]东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-4.m3u8
[BD]东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-7.m3u8
[BD]民視,https://stream1.freetv.fun/min-shi-8.m3u8
[BD]民视新闻 hd,https://stream1.freetv.fun/min-shi-xin-wen-13.m3u8
[BD]民视第一,https://stream1.freetv.fun/min-shi-di-yi-1.ctv
[BD]民视综艺,https://stream1.freetv.fun/min-shi-zong-yi-3.ctv
[BD]民视台湾,https://stream1.freetv.fun/min-shi-tai-wan-4.ctv
[BD]生命電視台,https://stream1.freetv.fun/sheng-ming-dian-shi-2.m3u8
[SD]经典电影1,https://stream1.freetv.fun/jing-dian-dian-ying-18.ctv
[HD]经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-19.ctv
[HD]经典香港电影,https://stream1.freetv.fun/jing-dian-xiang-gang-dian-ying-1.ctv
[BD]緯來電影,https://stream1.freetv.fun/wei-lai-dian-ying-2.m3u8
[BD]台视新闻 hd,https://stream1.freetv.fun/tai-shi-xin-wen-13.m3u8
[BD]tvbs,https://stream1.freetv.fun/tvbs-1.m3u8
[BD]tvn,https://stream1.freetv.fun/tvn-1.m3u8
[BD]taiwan plus tv[geo-blocked],https://stream1.freetv.fun/taiwan-plus-tv-1.m3u8
[HD]amc电影,https://stream1.freetv.fun/amcdian-ying-1.m3u8
[BD]bbc earth,https://stream1.freetv.fun/bbc-earth-5.m3u8
[HD]tennis channel,https://stream1.freetv.fun/tennis-channel-4.ctv
[HD]tennis channel,https://stream1.freetv.fun/tennis-channel-5.m3u8
[BD]lingua channel,https://stream1.freetv.fun/lingua-channel-1.m3u8
[BD]on e channel,https://stream1.freetv.fun/on-e-channel-2.m3u8
[BD]gs channel,https://stream1.freetv.fun/gs-channel-1.m3u8
[HD]bom channel,https://stream1.freetv.fun/bom-channel-1.m3u8
[BD]dopa channel,https://stream1.freetv.fun/dopa-channel-1.m3u8
[HD]xtremo channel,https://stream1.freetv.fun/xtremo-channel-1.m3u8
[BD]novyi channel,https://stream1.freetv.fun/novyi-channel-1.ctv
[HD]tennis channel,https://stream1.freetv.fun/tennis-channel-3.ctv
[BD]white channel,https://stream1.freetv.fun/white-channel-2.m3u8
[BD]magna channel,https://stream1.freetv.fun/magna-channel-4.m3u8
[HD]tennis channel 2,https://stream1.freetv.fun/tennis-channel-2-1.ctv
[SD]discovery channel,https://stream1.freetv.fun/discovery-channel-6.m3u8
[VGA]discovery channel,https://stream1.freetv.fun/discovery-channel-13.m3u8
[BD]discovery channel,https://stream1.freetv.fun/discovery-channel-16.m3u8
[BD]ช่อง discovery channels,https://stream1.freetv.fun/ch-ng-discovery-channels-1.m3u8
[SD]discovery channel,https://stream1.freetv.fun/discovery-channel-12.m3u8
[SD]discovery science,https://stream1.freetv.fun/discovery-science-7.m3u8
[BD]discovery español,https://stream1.freetv.fun/discovery-espanol-1.ctv
[BD]discovery familia,https://stream1.freetv.fun/discovery-familia-1.ctv
[HD]discovery探索日本[geo-blocked],https://stream1.freetv.fun/discoverytan-suo-ri-ben-1.ctv
[BD]discovery east,https://stream1.freetv.fun/discovery-east-1.ctv
[HD]discovery west,https://stream1.freetv.fun/discovery-west-1.ctv
[HD]dreamworks tv,https://stream1.freetv.fun/dreamworks-tv-1.m3u8
[HD]elta娛樂[geo-blocked],https://stream1.freetv.fun/eltayu-le-2.m3u8
[HD]eleven sport 2[geo-blocked],https://stream1.freetv.fun/eleven-sport-2-1.m3u8
[HD]hbo signature[geo-blocked],https://stream1.freetv.fun/hbo-signature-5.m3u8
[BD]hollywood classics,https://stream1.freetv.fun/hollywood-classics-1.m3u8
[BD]young hollywood,https://stream1.freetv.fun/young-hollywood-3.m3u8
[HD]made in hollywood,https://stream1.freetv.fun/made-in-hollywood-2.m3u8
[SD]lovenature[geo-blocked],https://stream1.freetv.fun/lovenature-1.ctv
[HD]momo綜合,rtmp://f13h.mine.nu:1935/sat/tv761
[SD]nba ca[geo-blocked],https://stream1.freetv.fun/nba-ca-1.m3u8
[BD]usa nba,https://stream1.freetv.fun/usa-nba-1.ctv
[SD]natgeo japan,https://stream1.freetv.fun/natgeo-japan-1.m3u8
[HD]nat geo-1,https://stream1.freetv.fun/nat-geo-4.m3u8
[BD]smithsonian channel,https://stream1.freetv.fun/smithsonian-channel-2.ctv
[HD]smithsonian,https://stream1.freetv.fun/smithsonian-1.ctv

泰国 Thailand,#genre#
[BD]ch7 hd,https://stream1.freetv.fun/ch7-1.m3u8
[HD]ch7,https://stream1.freetv.fun/ch7-2.m3u8
[VGA]ch7 sd,https://stream1.freetv.fun/ch7-sd-1.m3u8
[HD]nbt,https://stream1.freetv.fun/nbt-1.m3u8
[HD]gmm25,https://stream1.freetv.fun/gmm25-2.m3u8
[HD]mcot,https://stream1.freetv.fun/mcot-2.m3u8
[BD]motorvision tv,https://stream1.freetv.fun/motorvision-tv-3.ctv
[HD]motorvision,https://stream1.freetv.fun/motorvision-3.m3u8
[BD]motorvision fr[geo-blocked],https://stream1.freetv.fun/motorvision-fr-1.m3u8
[BD]nbt,https://stream1.freetv.fun/nbt-4.m3u8
[HD]nbt,https://stream1.freetv.fun/nbt-2.m3u8
[SD]ktrk tv news (720p),https://stream1.freetv.fun/ktrk-tv-news-1.m3u8
[BD]ftv news,https://stream1.freetv.fun/ftv-news-1.m3u8
[SD]tv5 news,https://stream1.freetv.fun/tv5-news-1.m3u8
[HD]nation tv,https://stream1.freetv.fun/nation-tv-1.m3u8
[HD]pptv,https://stream1.freetv.fun/pptv-3.m3u8
[HD]stadium 1,https://stream1.freetv.fun/stadium-1-1.ctv
[HD]lao-thai tv,https://stream1.freetv.fun/lao-thai-tv-1.m3u8
[VGA]tvb thai[geo-blocked],https://stream1.freetv.fun/tvb-thai-3.m3u8
[BD]tvb thai,https://stream1.freetv.fun/tvb-thai-4.m3u8
[HD]thai nguyen tv,https://stream1.freetv.fun/thai-nguyen-tv-1.m3u8
[BD]dltv 3,https://stream1.freetv.fun/dltv-3-2.m3u8
[BD]cdtv-3,https://stream1.freetv.fun/cdtv-3-1.ctv
[HD]thai chaiyo,https://stream1.freetv.fun/thai-chaiyo-1.m3u8
[HD]thai pbs,https://stream1.freetv.fun/thai-pbs-6.m3u8
[HD]thairath,https://stream1.freetv.fun/thairath-1.m3u8
[HD]true 4u,https://stream1.freetv.fun/true-4u-2.m3u8
[HD]voice tv,https://stream1.freetv.fun/voice-tv-1.m3u8
[BD]tvoe tv hd,https://stream1.freetv.fun/tvoe-tv-1.m3u8
[HD]workpoint tv,https://stream1.freetv.fun/workpoint-tv-2.m3u8

新加坡 Singapore,#genre#
[BD]axn,https://stream1.freetv.fun/axn-1.m3u8
[SD]cna,https://stream1.freetv.fun/cna-3.m3u8
[BD]insider,https://stream1.freetv.fun/insider-1.m3u8
[BD]channel 5,https://stream1.freetv.fun/channel-5-4.ctv
[BD]dc council channel,https://stream1.freetv.fun/dc-council-channel-1.m3u8
[BD]channel 5,https://stream1.freetv.fun/channel-5-3.m3u8
[HD]channel k,https://stream1.freetv.fun/channel-k-1.m3u8
[SD]magna channel,https://stream1.freetv.fun/magna-channel-2.m3u8
[SD]ช่อง tabi channel,https://stream1.freetv.fun/ch-ng-tabi-channel-1.m3u8
[HD]cable channel 37,https://stream1.freetv.fun/cable-channel-37-1.m3u8
[BD]on e channel,https://stream1.freetv.fun/on-e-channel-1.m3u8
[HD]cooking channel,https://stream1.freetv.fun/cooking-channel-3.m3u8
[VGA]tvs family channel,https://stream1.freetv.fun/tvs-family-channel-1.m3u8
[VGA]church channel,https://stream1.freetv.fun/church-channel-1.ctv
[SD]ivoire channel,https://stream1.freetv.fun/ivoire-channel-1.m3u8
[BD]泰国-white channel[1920*1080],https://stream1.freetv.fun/tai-guo--white-channel-1.m3u8
[HD]kqsl channel 8,https://stream1.freetv.fun/kqsl-channel-8-1.m3u8
